Posición, punto
713,"(689, 16079)"
714,"(694, 9535)"
715,"(694, 21142)"
716,"(695, 14942)"
717,"(695, 15735)"
718,"(696, 7703)"
719,"(696, 22974)"
720,"(699, 8334)"
721,"(699, 22343)"
722,"(700, 9458)"
723,"(700, 21219)"
724,"(710, 15106)"
725,"(710, 15571)"
726,"(711, 10648)"
727,"(711, 20029)"
728,"(712, 14433)"
729,"(712, 16244)"
730,"(715, 15256)"
731,"(715, 15421)"
732,"(719, 7950)"
733,"(719, 22727)"
734,"(720, 11826)"
735,"(720, 18851)"
736,"(721, 3788)"
737,"(721, 26889)"
738,"(722, 7652)"
739,"(722, 23025)"
740,"(723, 2997)"
741,"(723, 27680)"
742,"(724, 8673)"
743,"(724, 22004)"
744,"(726, 8030)"
745,"(726, 22647)"
746,"(731, 3102)"
747,"(731, 27575)"
748,"(733, 13716)"
749,"(733, 16961)"
750,"(736, 2145)"
751,"(736, 28532)"
752,"(738, 12908)"
753,"(738, 17769)"
754,"(739, 14380)"
755,"(739, 16297)"
756,"(743, 14017)"
757,"(743, 16660)"
758,"(744, 11831)"
759,"(744, 18846)"
760,"(745, 6378)"
761,"(745, 24299)"
762,"(747, 15254)"
763,"(747, 15423)"
764,"(748, 15039)"
765,"(748, 15638)"
766,"(749, 9117)"
767,"(749, 21560)"
768,"(751, 1060)"
769,"(751, 29617)"
770,"(753, 8859)"
771,"(753, 21818)"
772,"(754, 11149)"
773,"(754, 19528)"
774,"(756, 13438)"
775,"(756, 17239)"
776,"(759, 7404)"
777,"(759, 23273)"
778,"(762, 5790)"
779,"(762, 24887)"
780,"(763, 13668)"
781,"(763, 17009)"
782,"(766, 7235)"
783,"(766, 23442)"
784,"(769, 9088)"
785,"(769, 21589)"
786,"(775, 10417)"
787,"(775, 20260)"
788,"(780, 11812)"
789,"(780, 18865)"
790,"(782, 5417)"
791,"(782, 25260)"
792,"(783, 7763)"
793,"(783, 22914)"
794,"(784, 11522)"
795,"(784, 19155)"
796,"(787, 8510)"
797,"(787, 22167)"
798,"(788, 3746)"
799,"(788, 26931)"
800,"(789, 12267)"
801,"(789, 18410)"
802,"(791, 1729)"
803,"(791, 28948)"
804,"(796, 3136)"
805,"(796, 27541)"
806,"(797, 7393)"
807,"(797, 23284)"
808,"(800, 2856)"
809,"(800, 27821)"
810,"(801, 14641)"
811,"(801, 16036)"
812,"(802, 9554)"
813,"(802, 21123)"
814,"(804, 12520)"
815,"(804, 18157)"
816,"(806, 8075)"
817,"(806, 22602)"
818,"(808, 11309)"
819,"(808, 19368)"
820,"(810, 11029)"
821,"(810, 19648)"
822,"(811, 6491)"
823,"(811, 24186)"
824,"(812, 7183)"
825,"(812, 23494)"
826,"(813, 10182)"
827,"(813, 20495)"
828,"(814, 5730)"
829,"(814, 24947)"
830,"(815, 12069)"
831,"(815, 18608)"
832,"(816, 13376)"
833,"(816, 17301)"
834,"(819, 7937)"
835,"(819, 22740)"
836,"(823, 7958)"
837,"(823, 22719)"
